repo	relpath	n_constructs	constructs
accessibility-everywhere	tools/cli/src/Cli.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/cli/src/Index.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/github-action/src/Action.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/github-action/src/Index.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/monitoring-api/src/Externs.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/monitoring-api/src/Server.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/stale/packages/core/src/Arangodb.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/stale/packages/core/src/Index.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/stale/packages/scanner/src/Index.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/stale/packages/scanner/src/Scanner.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/stale/packages/stale/components/react/src/Button.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/stale/packages/stale/components/react/src/Externs.affine	0	<no-RS-construct:non-RS-drift>
accessibility-everywhere	tools/stale/packages/stale/components/react/src/Index.affine	0	<no-RS-construct:non-RS-drift>
aerie	src/ui/tea/aerie_gui.affine	0	<no-RS-construct:non-RS-drift>
affinescript	affinescript-deno-test/example/codegen_regression_test.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/invalid/001_unclosed_brace.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/invalid/002_unclosed_string.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/invalid/003_bad_number.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/invalid/004_unexpected_token.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/invalid/005_missing_arrow.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/invalid/006_bad_operator.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/invalid/007_incomplete_effect.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/invalid/008_mismatched_parens.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/invalid/009_reserved_keyword.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/invalid/012_trailing_comma.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/valid/006_type_alias.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/valid/007_struct_def.affine	0	<no-RS-construct:non-RS-drift>
affinescript	conformance/valid/012_ownership.affine	0	<no-RS-construct:non-RS-drift>
affinescript	docs/guides/warmup/01_basics.affine	0	<no-RS-construct:non-RS-drift>
affinescript	docs/guides/warmup/02_ownership.affine	1	mutable-field
affinescript	docs/guides/warmup/03_effects.affine	0	<no-RS-construct:non-RS-drift>
affinescript	docs/guides/warmup/04_rows.affine	0	<no-RS-construct:non-RS-drift>
affinescript	examples/lessons/01_hello.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/physics_example.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/road_render.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/road_render_final.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/road_render_simple.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/road_render_step2.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/road_render_step2_fixed.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/road_render_working.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/simple_test.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/test_config.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/test_exact.affine	0	<no-RS-construct:non-RS-drift>
affinescript	road-skate/test_projection.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/e2e/fixtures/bug_001_omega_let_smuggles_linear.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/e2e/fixtures/bug_001_sugar_form.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/e2e/fixtures/cmd_dropped.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/e2e/fixtures/cross_caller_drop.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/e2e/fixtures/cross_caller_dup.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/e2e/fixtures/cross_caller_ok.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/e2e/fixtures/cross_const_caller.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/e2e/fixtures/linear_arrow_violation.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/e2e/fixtures/pattern_match.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/e2e/fixtures/trait_impl_missing_method.affine	0	<no-RS-construct:non-RS-drift>
affinescript	test/golden/binary_ops.affine	0	<no-RS-construct:non-RS-drift>
